City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Aksarka,66.56,67.8,44.13,88,100,13.78,RU,1600396302
1,Caniço,32.63,-16.85,68.0,72,20,5.82,PT,1600396302
2,Teshie,5.58,-0.11,75.2,94,75,10.29,GH,1600396303
3,Ribeira Grande,38.52,-28.7,70.5,78,57,16.4,PT,1600396303
4,Bredasdorp,-34.53,20.04,44.6,93,30,1.12,ZA,1600396011
5,Anadyr,64.75,177.48,44.6,75,75,11.18,RU,1600396304
6,George Town,5.41,100.34,78.01,94,40,3.36,MY,1600396094
7,Punta Arenas,-53.15,-70.92,32.0,90,43,25.28,CL,1600396304
8,Fairbanks,64.84,-147.72,62.6,55,20,6.93,US,1600396082
9,Puerto Ayora,-0.74,-90.35,66.0,90,79,1.01,EC,1600396269
10,Yellowknife,62.46,-114.35,46.4,70,75,12.75,CA,1600396204
11,Tuatapere,-46.13,167.68,51.01,76,100,24.0,NZ,1600396305
12,Kapaa,22.08,-159.32,86.0,62,40,13.87,US,1600396014
13,Dunedin,-45.87,170.5,52.0,61,98,40.0,NZ,1600396305
14,Faya,18.39,42.45,64.4,22,50,5.64,SA,1600396306
15,Hobart,-42.88,147.33,59.0,40,20,8.05,AU,1600396204
16,Bud,39.45,-86.18,63.0,67,40,10.29,US,1600396306
17,Quirinópolis,-18.45,-50.45,82.76,22,95,5.01,BR,1600396084
18,Rikitea,-23.12,-134.97,72.39,80,1,22.01,PF,1600396108
19,Hermanus,-34.42,19.23,52.0,89,21,1.99,ZA,1600396110
20,Butaritari,3.07,172.79,82.27,73,96,12.19,KI,1600396307
21,Busselton,-33.65,115.33,59.0,65,31,5.99,AU,1600396307
22,Dikson,73.51,80.55,44.38,92,53,12.01,RU,1600396113
23,Mataura,-46.19,168.86,51.01,79,100,18.99,NZ,1600396117
24,Bengkulu,-3.8,102.27,83.84,66,40,5.53,ID,1600396307
25,Barrow,71.29,-156.79,44.6,81,90,14.99,US,1600396308
26,Tuktoyaktuk,69.45,-133.04,42.8,93,75,9.17,CA,1600396308
